year,date_,time,race,sex,age,wound,location,point_x,point_y,fatal
2015,2015-09-18 00:00:00+00,08:49:00,B,M,16,Stomach,2700 BLOCK Snyder Ave,-75.19122971,39.92714089,0
2015,2015-09-18 00:00:00+00,08:49:00,B,F,19,Multiple,2700 BLOCK Snyder Ave,-75.19122971,39.92714089,0
2015,2015-02-22 00:00:00+00,11:40:00,B,M,54,Multiple,1900 BLOCK S 22nd St,-75.1825475,39.92803504,1
2015,2015-01-22 00:00:00+00,16:22:00,W,M,38,Multiple,1400 BLOCK Ritner St,-75.17197152,39.92079725,1
2021,2021-01-23 00:00:00+00,12:58:00,B,M,23,Abdomen,2500 BLOCK S 28TH ST,-75.19390345,39.92143222,0
2023,2023-05-12 00:00:00+00,19:55:00,B,M,26,Leg,2300 BLOCK MIFFLIN ST,-75.18391806,39.92871232,0
2023,2023-08-25 00:00:00+00,13:05:00,B,M,48,Multiple,2300 BLOCK MOORE ST,-75.18405661,39.929966,0
2017,2017-11-09 00:00:00+00,20:05:00,B,M,18,Stomach,2400 BLOCK Moore St,-75.18551105,39.93017194,0
2020,2020-10-04 00:00:00+00,23:39:00,B,M,21,Back,2800 BLOCK WALTER ST,-75.19440677,39.92174592,0
2020,2020-10-04 00:00:00+00,20:59:00,B,M,18,Back,2100 BLOCK JACKSON ST,-75.18146237,39.92461934,0
2020,2020-10-04 00:00:00+00,20:59:00,B,M,15,Head,2100 BLOCK JACKSON ST,-75.18146237,39.92461934,1
2020,2020-01-31 00:00:00+00,19:42:00,B,M,22,Head,1800 BLOCK S 25th St,-75.18727299,39.93002172,0
2017,2017-11-09 00:00:00+00,20:05:00,B,M,14,Foot,2400 BLOCK Moore St,-75.18551105,39.93017194,0
2017,2017-11-09 00:00:00+00,20:05:00,B,M,14,Leg,2400 BLOCK Moore St,-75.18551105,39.93017194,0
2022,2022-05-25 00:00:00+00,19:57:00,B,M,15,Chest,2300 BLOCK BAILEY TERRACE,-75.19039339,39.92368289,1
2017,2017-11-09 00:00:00+00,20:05:00,B,M,15,Stomach,2400 BLOCK Moore St,-75.18551105,39.93017194,0
2021,2021-09-21 00:00:00+00,23:33:00,B,F,52,Leg,2100 BLOCK MARSTON TERRACE,-75.1919395,39.92595508,0
2021,2021-03-04 00:00:00+00,10:25:00,B,M,28,Leg,2000 BLOCK SNYDER AVE,-75.17987116,39.92575901,0
2020,2020-12-02 00:00:00+00,17:44:00,B,M,61,Abdomen,2000 BLOCK POINT BREEZE AVE,-75.18773582,39.92759534,0
2021,2021-12-12 00:00:00+00,14:15:00,B,M,40,Multiple/Head,2500 BLOCK RITNER ST,-75.18866715,39.92299223,0
2019,2019-09-28 00:00:00+00,16:57:00,B,M,28,Neck,2200 BLOCK S Croskey St,-75.18385386,39.92387901,1
2021,2021-09-25 00:00:00+00,21:27:00,B,M,28,Multiple,2200 BLOCK S BUCKNELL ST,-75.18599865,39.92412553,1
2019,2019-08-14 00:00:00+00,19:21:00,B,M,,Head,2300 BLOCK BAMBREY TER,-75.189626,39.92356763,1
2018,2018-10-04 00:00:00+00,20:42:00,B,M,15,Arm,2500 BLOCK W Passyunk Ave,-75.19005688,39.92171212,0
2018,2018-10-04 00:00:00+00,20:42:00,B,M,15,Back,2500 BLOCK W Passyunk Ave,-75.19005688,39.92171212,1
2018,2018-04-16 00:00:00+00,22:33:00,B,M,30,Multiple,2200 BLOCK Cantrell St,-75.18427938,39.92576705,1
2017,2017-05-22 00:00:00+00,19:45:00,A,F,57,Leg,1900 BLOCK Snyder Ave,-75.17875305,39.92553158,0
2018,2018-10-17 00:00:00+00,21:47:00,B,M,27,Multiple,2300 BLOCK Baily Terrace,-75.18994124,39.9239692,0
2021,2021-03-14 00:00:00+00,22:03:00,W,M,27,Leg,1500 BLOCK RITNER ST,-75.172322,39.92084151,0
2023,2023-05-05 00:00:00+00,09:44:00,B,M,24,Multiple,1900 BLOCK S 28TH ST,-75.19216776,39.92948188,1
2022,2022-05-19 00:00:00+00,17:50:00,B,F,26,Leg,2600 BLOCK JACKSON ST,-75.18980929,39.92570781,0
2018,2018-10-17 00:00:00+00,21:47:00,B,M,27,Neck,2300 BLOCK Baily Terrace,-75.18994124,39.9239692,1
2021,2021-11-03 00:00:00+00,02:39:00,A,F,47,Multiple,2200 BLOCK S 23RD ST,-75.18480553,39.92414139,0
2021,2021-11-03 00:00:00+00,02:39:00,A,M,52,Multiple,2200 BLOCK S 23RD ST,-75.18480553,39.92414139,0
2018,2018-05-26 00:00:00+00,22:34:00,B,M,45,Leg,2600 BLOCK Jackson St,-75.18972269,39.92570242,0
2020,2020-12-26 00:00:00+00,22:58:00,B,M,19,Leg,2000 BLOCK S NORWOOD ST,-75.1814847,39.92706967,0
2020,2020-10-30 00:00:00+00,13:34:00,B,M,21,Arm,1900 BLOCK S 19TH ST,-75.1773385,39.92672172,0
2015,2015-05-16 00:00:00+00,21:48:00,B,M,21,Foot,2700 BLOCK Cantrell Terrace,-75.19200039,39.92565271,0
2023,2023-06-21 00:00:00+00,17:52:00,B,F,44,Leg,2300 BLOCK BAMBREY TER,-75.18908365,39.92386282,0
2023,2023-06-21 00:00:00+00,17:52:00,B,M,29,Leg,2300 BLOCK BAMBREY TER,-75.18908365,39.92386282,0
2023,2023-04-03 00:00:00+00,10:52:00,B,M,43,Multiple,2000 BLOCK MERCY ST,-75.17996229,39.92613347,1
2020,2020-11-17 00:00:00+00,16:24:00,B,F,33,Hand,1900 BLOCK JACKSON ST,-75.1789689,39.9242622,0
2024,2024-09-05 00:00:00+00,00:19:00,B,M,32,Back,2300 BLOCK BAMBREY TERR,-75.18956574,39.92360043,0
2022,2022-03-06 00:00:00+00,06:47:00,W,M,23,Hand,1600 BLOCK JACKSON ST,-75.17417655,39.92364579,0
2024,2024-05-29 00:00:00+00,17:38:00,B,M,50,Multiple,2600 BLOCK JACKSON ST,-75.18972269,39.92570242,1
2015,2015-08-17 00:00:00+00,06:36:00,B,M,30,Multiple,1900 BLOCK S 23rd St,-75.18393855,39.92864481,0
2015,2015-03-14 00:00:00+00,23:34:00,B,M,21,Multiple,1800 BLOCK S 23rd St,-75.18369912,39.92973394,0
2023,2023-03-30 00:00:00+00,16:25:00,B,M,56,Chest,2100 BLOCK TANEY TERRACE,-75.19050127,39.92561347,0
2024,2024-06-09 00:00:00+00,16:21:00,B,M,30,Back,1900 BLOCK S 22ND ST,-75.1823757,39.92749264,0
2023,2023-03-30 00:00:00+00,16:25:00,B,M,44,Chest,2100 BLOCK TANEY TERRACE,-75.19050127,39.92561347,0
2020,2020-08-08 00:00:00+00,22:32:00,B,M,18,Multiple,2100 BLOCK S OPAL ST,-75.17889765,39.92471008,0
2018,2018-10-17 00:00:00+00,20:46:00,B,M,43,Shoulder,2700 BLOCK Winton Terrace,-75.19174168,39.9252926,0
2017,2017-08-19 00:00:00+00,08:30:00,B,M,40,Leg,2900 BLOCK McKean St,-75.19394848,39.928732,0
2017,2017-09-07 00:00:00+00,15:05:00,B,M,29,Leg,1900 BLOCK S 23rd St,-75.18393855,39.92864481,0
2023,2023-12-15 00:00:00+00,16:45:00,B,M,36,Foot,1600 BLOCK MIFFLIN ST,-75.17269552,39.9272686,0
2022,2022-12-09 00:00:00+00,12:31:00,B,M,17,Arm,2300 BLOCK S BAILEY ST,-75.19098475,39.92335277,0
2015,2015-11-15 00:00:00+00,14:55:00,B,M,18,Chest,2200 BLOCK Mifflin St,-75.1822795,39.92849993,1
2022,2022-07-27 00:00:00+00,18:53:00,B,M,28,Multiple/Head,1800 BLOCK SIGEL ST,-75.17609811,39.92813667,1
2020,2020-07-24 00:00:00+00,23:30:00,B,M,30,Ankle,2100 BLOCK S 15TH ST,-75.1714521,39.92447963,0
2020,2020-07-24 00:00:00+00,23:30:00,B,M,25,Leg,2100 BLOCK S 15TH ST,-75.1714521,39.92447963,0
2020,2020-06-25 00:00:00+00,00:00:00,B,F,,HAND,1900 BLOCK CROSKEY ST,-75.17111647,39.98420135,0
2020,2020-06-25 00:00:00+00,01:20:00,B,M,30,Head,1900 BLOCK Croskey St,-75.17111647,39.98420135,1
2024,2024-06-08 00:00:00+00,23:15:00,B,M,27,Abdomen,2700 BLOCK SNYDER AVE,-75.19168943,39.92726443,0
2022,2022-01-08 00:00:00+00,17:15:00,B,M,16,Multiple,1800 BLOCK MCLELLAN ST,-75.17544939,39.92844004,0
2020,2020-10-18 00:00:00+00,20:37:00,W,M,20,Chest,1800 BLOCK JOHNSTON ST,-75.17865106,39.9163558,0
2020,2020-10-15 00:00:00+00,16:07:00,B,M,31,Leg,1800 BLOCK SNYDER AVE,-75.1771869,39.92533505,0
2020,2020-07-25 00:00:00+00,00:22:00,B,M,19,Chest,1800 BLOCK S 24TH ST,-75.185311,39.93007257,0
2020,2020-07-25 00:00:00+00,00:22:00,B,M,18,Chest,1800 BLOCK S 24TH ST,-75.185311,39.93007257,1
2020,2020-07-14 00:00:00+00,18:20:00,B,F,23,Leg,2100 BLOCK TANEY TERRACE,-75.1910263,39.92651021,0
2020,2020-07-14 00:00:00+00,18:20:00,B,M,22,Foot,2100 BLOCK TANEY TERRACE,-75.1910263,39.92651021,0
2021,2021-02-05 00:00:00+00,23:59:00,B,M,36,Multiple,2200 BLOCK SNYDER AVE,-75.18310794,39.92605025,0
2022,2022-01-08 00:00:00+00,17:15:00,W,M,19,Multiple,1800 BLOCK MCLELLAN ST,-75.17544939,39.92844004,1
